책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
엘라스틱서치 바이블,https://product.kyobobook.co.kr/detail/S000202720436,여동현,2023-06-29,2023-10-19,sh*****,한달 후 리뷰,4,좋습니다.좋습니다.,9791158394356,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-19,yo*******,구매자,4,"비전공자라 adsp라는 과목이 너무 생소하고 어려웠는데 미어캣책은 네이버카페와 스터디, 저자의 유튜브 강의까지 도움되는 자료가 너무 많아서 좋았어요!!
합격을 위해 여러모로 신경 써주셔서 혼자 공부하는게 외롭지 않았어요 ㅎㅎ 비전공자들이라면 이 책 추천합니다!!",9791158394059,4.0
2023 이지패스 ADsP 데이터분석 준전문가,https://product.kyobobook.co.kr/detail/S000200640629,"전용문,박현민",2023-01-16,2023-10-19,lw*****,구매자,4,고민 많이해서 구매했는데 잘 구매한 것 같습니다. 유튜브 강의도 있어서 보기 좋습니다.,9791158394059,4.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-18,누*야,,평점5점,챗 GPT와 업무자동화라는 책을 읽은 적이 있는데 더 다양한 활용법 기대됩니다!,9791158394721,5.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-18,m*쭈,,평점5점,챗 GPT의 기본 사용법부터 고급 활용까지 두루 배울 수 있을 것 같아 기대가 됩니다^^,9791158394721,5.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-18,e***u,,평점5점,Ai로 웹디자인할수있는 방법에 이미지생성할수있는 부분이 제일 기대됩니다,9791158394721,5.0
진짜 챗GPT 활용법 ,http://www.yes24.com/Product/Goods/122767542,"김준성, 브라이스 유, 안상준 저",2023-10-10,2023-10-18,j*****g,,평점5점,다양한 분야에서 챗GPT를 활용하는 방법을 상세하게 다루고 있어 매우 유용할 것 같습니다.,9791158394721,5.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-18,아**ㅋ,구매,내용 평점5점  편집/디자인 평점5점,민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트책하고 고민하다 구매했는데 만족합니다.민트... 더보기,9791158394059,5.0
2023 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/116785443,"전용문, 박현민 저",2023-01-16,2023-10-18,콩*,구매,평점5점,"스터디도 있고 무료 자료 배포 이벤트,인강도 있어서 비전공자 독학으로 딱입니다",9791158394059,5.0
"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",https://product.kyobobook.co.kr/detail/S000202342916,"테지마 타쿠야,요시다 타케토,타카바야시 요시키,김모세",2023-05-30,2023-10-18,tv*****,,4,리액트 타입스크립트 nextjs를 빠르게 배울수 있어서 좋있습니다,9791158394332,4.0
