책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
나는 해외구매대행으로 한 달에 월급을 두 번 받는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296452951,제노(고범준),2022-06-21,2022-08-03,월루화,구매,5점,"해외구매대행 소싱방법을 알려주는 혜자스러운 책 이 책은 누구나 해외사이트에 접속해서 상품을 구매할 수 있도록 도와주는 가이드를 알려주는 책이다. 책은 284페이지의 구성을 이루고 있었다. 누구나 한 번쯤은 저렴하게 직구하여 사용하고 싶다는 로망이 있기 때문에, 고객들이 원하는 물건을 해외에서 찾아 합리적인 가격 대신 구매해주고 이윤을 남기는 시스템으로 구매대행 시장에 뛰어드는 사람들도 적지 않아 많다. 
 
이 책에는 사업자 등록부터 스토어를 개설하고, 상품을 찾고 업로드하는 방법과 절대 판매해서는 안되는 상품과 어떤 상품을 판매해야 할지에 대해 자세히... + 더보기",9791158393311,5.0
나는 해외구매대행으로 한 달에 월급을 두 번 받는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296452951,제노(고범준),2022-06-21,2022-08-03,월루화,구매,5점,"해외구매대행 소싱방법을 알려주는 혜자스러운 책 이 책은 누구나 해외사이트에 접속해서 상품을 구매할 수 있도록 도와주는 가이드를 알려주는 책이다. 책은 284페이지의 구성을 이루고 있었다. 누구나 한 번쯤은 저렴하게 직구하여 사용하고 싶다는 로망이 있기 때문에, 고객들이 원하는 물건을 해외에서 찾아 합리적인 가격 대신 구매해주고 이윤을 남기는 시스템으로 구매대행 시장에 뛰어드는 사람들도 적지 않아 많다. 
 
이 책에는 사업자 등록부터 스토어를 개설하고, 상품을 찾고 업로드하는 방법과 절대 판매해서는 안되는 상품과 어떤 상품을 판매해야 할지에 대해 자세히... + 더보기",9791158393311,5.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,http://www.yes24.com/Product/Goods/110708504,상냥한주디(김정훈) 저,2022-07-22,2022-08-02,다*,구매,평점5점,"자세하고 상냥하게 미리캔버스의 사용법을 만날 수 있어, 고퀄리티의 디자인을 완성!",9791158393342,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",http://www.yes24.com/Product/Goods/110161460,"스마트 플립러닝 연구회, 조원정 저",2022-06-28,2022-08-02,삐**녀,,내용 평점5점  편집/디자인 평점5점,아이가 학교에서 웹툰을 만든다고 했다.학교 수업 과정 중 에듀테크 주간이 있었다.에듀테크 주간에 다양한 프로그램을 사용해 그림도 그리고 음악도 만드는 등의 수업 중 웹툰 만드는 시간이 있었다.어떻게 웹툰을 만드는지 궁금했다.투닝이라는 것을 사용해 웹툰을 만든다고 하는데 어떤 프로그램으로 어떻게 만드는지 궁금하던 차에 이 책을 알게 되었다.투닝이... 더보기,9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-02,쑤진,구매,5점,[서평] 투닝 클릭만으로 만드는 나만의 웹툰 본 도서는 일반교사들이 스토리보드를 작성하고 캐릭터를 창작하는데 한계가 있기때문에 학습작업을 하는데 보다 더 쉽게 접근할 수 있도록 콘텐츠 저작도구인 투닝을 개발하였다고 한다. ​  프로그램이 갖추어진 콘텐츠 리소스를 클릭하여 선택하기만 하면 원하는 방향으로 웹툰을 만들 수 있다. 책에 기재되어 있는 홈페이지에 들어가 가입에서부터 사용법과 투닝 수업에 적용한 사례들까지 모두 볼 수 있다. 또한 QR코드를 통해 동영상을 제공받아 회원가입부터 하나하나 안내를 받으며 따라할 수 있도록 구성하고 있다.&nbs... + 더보기,9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-02,ssinyb,구매,5점,"투닝,  클릭만으로 만드는 나만의 웹툰 아이가 학교에서 웹툰을 만든다고 했다.학교 수업 과정 중 에듀테크 주간이 있었다.에듀테크 주간에 다양한 프로그램을 사용해 그림도 그리고 음악도 만드는 등의 수업 중 웹툰 만드는 시간이 있었다.어떻게 웹툰을 만드는지 궁금했다.투닝이라는 것을 사용해 웹툰을 만든다고 하는데 어떤 프로그램으로 어떻게 만드는지 궁금하던 차에 이 책을 알게 되었다.투닝이 어떤 프로그램인지 어떻게 웹툰을 만들까 하는 궁금한 마음에 책을 펼쳤다. 인공지능 기술을 사용해 쉽게 웹툰을 만들 수 있는 투닝은 클릭으로 원하는 캐릭터와 배경을 선택하여 웹툰형 콘텐츠를 만... + 더보기",9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-02,쑤진,구매,5점,[서평] 투닝 클릭만으로 만드는 나만의 웹툰 본 도서는 일반교사들이 스토리보드를 작성하고 캐릭터를 창작하는데 한계가 있기때문에 학습작업을 하는데 보다 더 쉽게 접근할 수 있도록 콘텐츠 저작도구인 투닝을 개발하였다고 한다. ​  프로그램이 갖추어진 콘텐츠 리소스를 클릭하여 선택하기만 하면 원하는 방향으로 웹툰을 만들 수 있다. 책에 기재되어 있는 홈페이지에 들어가 가입에서부터 사용법과 투닝 수업에 적용한 사례들까지 모두 볼 수 있다. 또한 QR코드를 통해 동영상을 제공받아 회원가입부터 하나하나 안내를 받으며 따라할 수 있도록 구성하고 있다.&nbs... + 더보기,9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-02,ssinyb,구매,5점,"투닝,  클릭만으로 만드는 나만의 웹툰 아이가 학교에서 웹툰을 만든다고 했다.학교 수업 과정 중 에듀테크 주간이 있었다.에듀테크 주간에 다양한 프로그램을 사용해 그림도 그리고 음악도 만드는 등의 수업 중 웹툰 만드는 시간이 있었다.어떻게 웹툰을 만드는지 궁금했다.투닝이라는 것을 사용해 웹툰을 만든다고 하는데 어떤 프로그램으로 어떻게 만드는지 궁금하던 차에 이 책을 알게 되었다.투닝이 어떤 프로그램인지 어떻게 웹툰을 만들까 하는 궁금한 마음에 책을 펼쳤다. 인공지능 기술을 사용해 쉽게 웹툰을 만들 수 있는 투닝은 클릭으로 원하는 캐릭터와 배경을 선택하여 웹툰형 콘텐츠를 만... + 더보기",9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",http://www.yes24.com/Product/Goods/110161460,"스마트 플립러닝 연구회, 조원정 저",2022-06-28,2022-08-01,아*,,내용 평점5점  편집/디자인 평점5점,심심할 때 웹툰을 보면 참 재미있죠. 웹툰은 도대체 어떤 실력자들이 만드는 건지 궁금해지기도 하는데요. 이 책은 누구나 쉽게 웹툰을 만들 수 있게 도와줍니다. 그림 솜씨가 없어도 웹툰을 만들 수 있다니 신기하네요. 이 책에서는 투닝 웹사이트에 접속해 쉬운 방법으로 웹툰을 만드는 방법을 소개하는데요. 투닝이 플랫폼이 되어 짧은 시간에 웹... 더보기,9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-01,book,구매,5점,"투닝, 클릭만으로 만드는 나만의 웹툰 심심할 때 웹툰을 보면 참 재미있죠. 웹툰은 도대체 어떤 실력자들이 만드는 건지 궁금해지기도 하는데요. 이 책은 누구나 쉽게 웹툰을 만들 수 있게 도와줍니다. 그림 솜씨가 없어도 웹툰을 만들 수 있다니 신기하네요.​이 책에서는 투닝 웹사이트에 접속해 쉬운 방법으로 웹툰을 만드는 방법을 소개하는데요. 투닝이 플랫폼이 되어 짧은 시간에 웹툰을 만들 수 있습니다. 투닝은 PC나 모바일 모두 사용 가능하지만 PC 환경에서 사용하는 것이 더 편리합니다. 투닝에서 제공하는 사진 외에도 개인적으로 저장한 사진을 쓸 수도 있다고 하네요. 따로 캐... + 더보기",9791158393304,5.0
"투닝, 클릭만으로 만드는 나만의 웹툰",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296631525,조원정,2022-06-28,2022-08-01,book,구매,5점,"투닝, 클릭만으로 만드는 나만의 웹툰 심심할 때 웹툰을 보면 참 재미있죠. 웹툰은 도대체 어떤 실력자들이 만드는 건지 궁금해지기도 하는데요. 이 책은 누구나 쉽게 웹툰을 만들 수 있게 도와줍니다. 그림 솜씨가 없어도 웹툰을 만들 수 있다니 신기하네요.​이 책에서는 투닝 웹사이트에 접속해 쉬운 방법으로 웹툰을 만드는 방법을 소개하는데요. 투닝이 플랫폼이 되어 짧은 시간에 웹툰을 만들 수 있습니다. 투닝은 PC나 모바일 모두 사용 가능하지만 PC 환경에서 사용하는 것이 더 편리합니다. 투닝에서 제공하는 사진 외에도 개인적으로 저장한 사진을 쓸 수도 있다고 하네요. 따로 캐... + 더보기",9791158393304,5.0
비트코인·블록체인 바이블,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279057642,장세형,2021-09-14,2022-08-01,eclectic,구매,5점,바이블? 인정,9791158392697,5.0
나는 해외구매대행으로 한 달에 월급을 두 번 받는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296452951,제노(고범준),2022-06-21,2022-07-30,꽃이피다,구매,5점,"해외구매대행 처음과 끝 오래 전에 해외 사이트를 통해서 물건을 구입을 한 적이 있는데, 이 때 많이 놀랬다. 우리나라에 없는 다양한 물건을 구할 수 있어서 잘 활용하면 좋겠다고 생각했다. 시간이 지나면서 우리나라 사이트에도 다양한 것을 구할 수 있어서 그 이후 해외 쇼핑몰을 사용하지 않았지만 최근 해외구매대행에 관심이 생겨서 『나는 해외구매대행으로 한 달에 월급을 두 번 받는다』책을 읽기 전에는 해외구매대행이 번거로울 것 같고, 막상 어떤 것 부터 시작해야 할 지 몰랐는데, 책이 A부터 Z까지 자세하게 담고 있어서 도움이 많이 되었다. 사업자 등록, 온라... + 더보기",9791158393311,5.0
나는 해외구매대행으로 한 달에 월급을 두 번 받는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296452951,제노(고범준),2022-06-21,2022-07-30,꽃이피다,구매,5점,"해외구매대행 처음과 끝 오래 전에 해외 사이트를 통해서 물건을 구입을 한 적이 있는데, 이 때 많이 놀랬다. 우리나라에 없는 다양한 물건을 구할 수 있어서 잘 활용하면 좋겠다고 생각했다. 시간이 지나면서 우리나라 사이트에도 다양한 것을 구할 수 있어서 그 이후 해외 쇼핑몰을 사용하지 않았지만 최근 해외구매대행에 관심이 생겨서 『나는 해외구매대행으로 한 달에 월급을 두 번 받는다』책을 읽기 전에는 해외구매대행이 번거로울 것 같고, 막상 어떤 것 부터 시작해야 할 지 몰랐는데, 책이 A부터 Z까지 자세하게 담고 있어서 도움이 많이 되었다. 사업자 등록, 온라... + 더보기",9791158393311,5.0
파이토치와 유니티 ML-Agents로 배우는 강화학습,http://www.yes24.com/Product/Goods/110692107,"민규식, 이현호, 김영록, 정유정, 정규열 저 외 1명",2022-07-22,2022-07-29,k***l,구매,평점3점,독자의 선수 지식 정도에 따라 평가가 달라질 듯하네요. 중급 이상에게 추천합니다.,9791158393410,3.0
생활코딩! HTML+CSS+자바스크립트,http://www.yes24.com/Product/Goods/108553101,이고잉 저,2022-04-07,2022-07-27,짱*,구매,평점5점,도움이 됩니다,9791158393274,5.0
2022 이지패스 ADsP 데이터분석 준전문가,http://www.yes24.com/Product/Goods/106156843,"전용문, 박현민 저",2022-01-14,2022-07-25,a*****9,,평점5점,풀 수 있는 문제가 많고 무엇보다 출퇴근시 어플로 공부할 수 있게 되어서 괜찮습니다.,9791158393069,5.0
모던 자바스크립트 Deep Dive,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=251552545,이웅모,2020-09-25,2022-07-24,오오,구매,5점,책 너무 좋아요 새벽에 분철로 주문했는데도 당일 오후에 도착했어요 책 내용도 만족스럽고 배송도 빨라서 진짜 좋음,9791158392239,5.0
모던 자바스크립트 Deep Dive,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=251552545,이웅모,2020-09-25,2022-07-24,오오,구매,5점,배송도 빠르고 내용도 좋다 새벽에 분철로 주문했는데 너무 빨리 왔어요 당일 오후에 도착했네요. 알라딘 정말 빠르군요 적립금으로 잘 사서 읽고있습니다. 좋네요!! 개념 정리가 잘 되어 있어서 스르르륵 읽기 좋아요,9791158392239,5.0
나는 해외구매대행으로 한 달에 월급을 두 번 받는다,http://www.yes24.com/Product/Goods/110106409,제노 저,2022-06-21,2022-07-23,츠*,구매,평점5점,해외구매대행에 관심이 있어서 구매했습니다 알찬 정보가 많은거 같네요!,9791158393311,5.0
인스타그램 브랜딩 레시피,http://www.yes24.com/Product/Goods/105892670,김정은 저,2022-01-12,2022-07-23,츠*,구매,평점5점,반정도 읽었는데 알찬 정보가 많네요 인스타도 이렇게 공부할게 많은줄 몰랐어요ㅠㅠ!,9791158392956,5.0
시작하세요! Final Cut Pro 10.6,http://www.yes24.com/Product/Goods/105374189,박경인 저,2021-12-15,2022-07-12,y*********4,구매,평점5점,동영상 강의도 좋고 잘 정리되있어서 좋아요,9791158392963,5.0
시작하세요! 빠르크의 유튜브 영상 편집 with 프리미어 프로,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=272582798,박경인,2021-06-15,2022-07-12,불곰맨,구매,5점,배송이 빨라서 좋아요,9791158392604,5.0
파이썬 텍스트 마이닝 완벽 가이드,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=288539164,"박상언,강주영,정석찬",2022-02-18,2022-07-06,함께라맨,구매,5점,"좋은 책이라고 생각합니다. 우선 쉽고 잘 쓰여진 책이라 생각합니다. 학부 고학년을 위한 교재로 추천할만 합니다. 뒷부분까지 포함하면 석사 초년생을 위해서도 좋겠네요. 실습 코드에 누락된 점이나 오류가 없어서 좋습니다. 요즘 파이썬 관련 책들 보면 실습 코드에 여러 문제가 있어서 원본 Github를 꼭 참조해서 공부해야 하는 경우가 많은데 편집이 상당히 꼼꼼하게 잘 되었습니다. 내용 좋고, 편집 잘 되었고 뭘 더 바라겠습니까? 관련 번역서들과 달리 한글의 처리 방법도 매 챕터 끝에 꼼꼼이 넣으셔서 유용한 책으로 강추입니다.",9791158393007,5.0
AWS 컨테이너 설계와 구축 철저 입문,http://www.yes24.com/Product/Goods/109994580,"아라이 마사야, 우마카츠 아츠시 저/양현 역/사사키 타쿠로 감수",2022-06-15,2022-07-04,t***s,구매,평점5점,쉽고 자세해요,9791158393373,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2022-07-04,t***s,구매,평점5점,쉽고 좋아요,9791158393038,5.0
직장생활 막내 생존 노하우,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296620745,김희준,2022-06-28,2022-07-04,언니네서기관,구매,5점,정말 직장인 막내 즉 신입직원들에게 필요한 책입니다. 궁금하지만 선배들에게 물어보기 애매한 내용들을 잘 선별해 반영된 책입니다. 일반론적인 애기가 아닌 현장에서 바로 써먹을수 콘텐츠가 한가득하네요 꼭 신입직원들 구입새서 보십시요,9791158393335,5.0
모던 자바스크립트 Deep Dive,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=251552545,이웅모,2020-09-25,2022-07-02,페르,구매,5점,˝진짜˝ 프론트엔드 개발자가 되고 싶다면 이 책을 사라. 자바스크립트 책을 찾는다면 이 책을 사라.,9791158392239,5.0
스프링 부트 핵심 가이드,http://www.yes24.com/Product/Goods/110142898,장정우 저,2022-06-24,2022-06-30,B******n,구매,평점5점,잘 보겠습니다 감사합니다,9791158393083,5.0
파이썬 텍스트 마이닝 완벽 가이드,http://www.yes24.com/Product/Goods/107008224,"박상언, 강주영, 정석찬 저",2022-02-18,2022-06-25,m***j,,평점3점,다루는 범위가 광범위한 탓이겠지만 너무 실습 위주로만 구성되어 이론은 충실하지 않음,9791158393007,3.0
만들면서 배우는 클린 아키텍처,http://www.yes24.com/Product/Goods/105138479,톰 홈버그 저/박소은 역,2021-11-26,2022-06-21,m*****9,구매,내용 평점5점  편집/디자인 평점5점,"품질 좋은 소프트웨어를 만들기 위해 아키텍처에 관심을 가지고 있던 중, 클린 아키텍처가 어떤 건지 궁금해서 본 책입니다. 책이 얇고 개인적으로 디자인이 좋다고 생각해서부담 없이 읽을 수 있다는 점이 좋았습니다. 물론, 얇아도클린 아키텍처에 대한 지식, 사용했을 때 장점, 예제 코드에 대해 어느 정도 알아갈 수 있다고 생각하기 때문에 나쁘지 않았던 것 같... 더보기",9791158392758,5.0
만들면서 배우는 클린 아키텍처,http://www.yes24.com/Product/Goods/105138479,톰 홈버그 저/박소은 역,2021-11-26,2022-06-21,m*****9,구매,평점5점,클린 아키텍처를 간단히 알아볼 수 있어서 좋았습니다.,9791158392758,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2022-06-18,m*****3,구매,내용 평점5점  편집/디자인 평점5점,다른 책으로 도커와 그 관련 공부를 하다가 막히던 중에 발견한 책입니다. 아무래도 그림을 기반으로 설명하는 점에서 다른 도커 관련 기술 서적보다 이해하기 쉽다는 점이 장점인것 같습니다. 그렇다고 수준이 낮은 것도 아니라거 이 책으로 실습이나 실제로 도커 적용을 시도해 보는 것도 가능할 것으로 보입니다. 또한 신간이라서 그런건지 책 디자인 같은 것도... 더보기,9791158393038,5.0
모든 기획자와 디자이너가 알아야 할 사람에 대한 100가지 사실,http://www.yes24.com/Product/Goods/105104944,"수잔 웨인쉔크 저/이재명, 이예나, 전이주 역",2021-11-24,2022-06-18,y****i,구매,평점5점,내용이 좋아요,9791158392765,5.0
AWS 컨테이너 설계와 구축 철저 입문,http://www.yes24.com/Product/Goods/109994580,"아라이 마사야, 우마카츠 아츠시 저/양현 역/사사키 타쿠로 감수",2022-06-15,2022-06-17,J***n,구매,평점5점,AWS 컨테이너 아키텍처에 대해 그림으로 도식화되어 있어 공부하기 좋은 것 같습니다 :),9791158393373,5.0
그림과 실습으로 배우는 도커 & 쿠버네티스,http://www.yes24.com/Product/Goods/108431011,오가사와라 시게타카 저/심효섭 역,2022-04-05,2022-06-15,m*****g,구매,내용 평점5점  편집/디자인 평점5점,"그림, 표, 꼭 필요한 문장으로 간결하게 구성한 책!와 이렇게 잘 읽히고 재밌게 따라한 개발서적 너무 오랜만이라 신나서 글 남기네요. 그림과 표가 많아서 이해도 잘 되고 재미있게 공부했습니다.급하게 도커를 공부할 필요가 있어 서점에 갔다가 발견한 책입니다. 이외에도 몇가지 도커 관련 서적을 구매했는데 이 책이 가장 도커에 대해 설명도 쉽고 각 절이 짧은... 더보기",9791158393038,5.0
파이썬 머신러닝 완벽 가이드,http://www.yes24.com/Product/Goods/108824557,권철민 저,2022-04-21,2022-06-13,W***y,구매,내용 평점5점  편집/디자인 평점5점,"'3판으로 거듭난 머신러닝 갓철민의 새 책. 동영상, 인프런 강의와 함께라면 머신러닝을 꿰찰 수 있는 책 ' 머신러닝에 있어서는 거의 바이블로 불리는 책이 둘 있다. 하나는 '핸즈 온 머신러닝'이고, 다른 하나는 권철민 저의 '파이썬 머신러닝 완벽 가이드'이다. 이 책의 경우 인프런에서 따로 강의가 연계되어 있으며 오랫동안 강의와 책 모두 스테디셀러로... 더보기",9791158393229,5.0
코어 자바스크립트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=206513031,정재남,2019-09-10,2022-06-12,PN,구매,5점,JS는 거의 모르고 자바나 파이썬 등 타 프로그래밍 언어만 다루는 상태에서 봤는데 DOM보다 정말 자바스크립트 본연의 기능에 집중하는 내용이라 오히려 html과 css관련 내용이 얽혀 어지러운 타 자바스크립트 관련 도서들에 비해 훨씬 흥미롭게 보았습니다.,9791158391720,5.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-06-11,h*****2,구매,내용 평점5점  편집/디자인 평점5점,"비전공자로 UX와 UI 디자인이 무엇인지, UX 디자이너가 되기 위해서는 어떤 것부터 알아야 하는지, 디자인 비전공자도 이 분야를 할 수 있는지 모르는 상태였는데 이 책이 도움이 많이 되었습니다. 인터넷과 유튜브에서 혼자 정보를 찾는데에는 어떤 것이 핵심적인 정보인지 아는데에 한계가 있는데 이 책에서 에릭님은 실제로 현업에서 UX, UI디자인, 유저 리서치를... 더보기",9791158393328,5.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-06-11,h*****2,구매,평점5점,비전공자가 입문하려고 할때 무엇을 알아야 하는지 궁금해서 읽었는데 내용이 실하고 만족합니다,9791158393328,5.0
실무로 배우는 빅데이터 기술,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=241315910,김강원,2020-06-02,2022-06-05,안쏘니04,구매,5점,정말 좋은 책인데 리뷰가 없네요. 빅데이터 생태계에 대해서 추상적이지 않게 실습을 겸하여 전체 모습을 그려보기 좋은 좋은 책입니다. 저자님 또 책 많이 써주세요.,9791158392055,5.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-06-04,t***********3,,평점5점,비전공자나 UX를 모르는 사람의 입장에서 이해하기 쉽고도 핵심을 전달하는 책,9791158393328,5.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-06-03,e********r,구매,내용 평점5점  편집/디자인 평점5점,"이제 막 UX업무를 시작한 사람들에게 완전 추천합니다!UX 기본 개념부터 실무 팁까지 친절하게 알려줘요. 설득력있는 결과물을 전달하기 위해선 어떤 프로세스를 거쳐야하는지 알 수 있고, 이 단계가 왜 필요한지, 처음 수행할 때 간과할 수 있는 실수들이나 주의점이 잘 요약되어 있어요. 그래서 이제 막 UX분야를 공부하기 시작한 학생이나, UX주니어가 기본기를... 더보기",9791158393328,5.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-06-03,e********r,구매,평점5점,편하게 술술 읽을 수 있고 핵심만 잘 정리되어 있어요,9791158393328,5.0
인사이드 안드로이드 OS,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=288712251,"블레이크 마이크,래리 쉬퍼,류진훈",2022-02-24,2022-05-28,SIGMADREAM,구매,3점,"잘 정리된 참고서 1커스텀된 Android OS를 손보고 예전에 알던 Android가 아니라서 책을 좀 봐야겠다 싶어서 읽었다. 생각보다 꼼꼼하게 잘 정리되어 있어서 작업하면서 검색했던 대부분의 내용이 깔끔하게 정리되어 있어서 좋았다.2Android OS 커스텀 관련일을 하시면, 읽어보시면 좋을 것 같다. 참고로 나는 9장/10장 내용이 필요해서 읽었는데 내가 필요한 부분은 잘 정리되어 있어서 적당히 도움을 받았다.",9791158393151,3.0
인사이드 안드로이드 OS,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=288712251,"블레이크 마이크,래리 쉬퍼,류진훈",2022-02-24,2022-05-28,SIGMADREAM,구매,3점,"잘 정리된 참고서 1커스텀된 Android OS를 손보고 예전에 알던 Android가 아니라서 책을 좀 봐야겠다 싶어서 읽었다. 생각보다 꼼꼼하게 잘 정리되어 있어서 작업하면서 검색했던 대부분의 내용이 깔끔하게 정리되어 있어서 좋았다.2Android OS 커스텀 관련일을 하시면, 읽어보시면 좋을 것 같다. 참고로 나는 9장/10장 내용이 필요해서 읽었는데 내가 필요한 부분은 잘 정리되어 있어서 적당히 도움을 받았다.",9791158393151,3.0
뉴욕 프로덕트 디자이너가 알려주는 UX 디자인 입문 A to Z,http://www.yes24.com/Product/Goods/109365309,에릭 저,2022-05-20,2022-05-26,법***가,,평점1점,이것저것 짜집기된 느낌. 유튜브에서 볼 수 있을 정도로 가벼운 내용들이 많다.,9791158393328,1.0
인스타그램 브랜딩 레시피,http://www.yes24.com/Product/Goods/105892670,김정은 저,2022-01-12,2022-05-22,아**에,구매,평점5점,내용 좋습니다,9791158392956,5.0
NFT 실체와 가치,http://www.yes24.com/Product/Goods/108223571,장세형 저,2022-03-30,2022-05-18,a*****9,구매,내용 평점5점  편집/디자인 평점5점,"NFT를 사볼까? 고민이 된다. 그런데 사실 나는 여전히 NFT가 무엇인지 모른다. 특히 블록체인과 NFT의 차이가 무엇인지, 미술품들을 NFT로 주식처럼 거래가 가능한 이유도 몰랐다. 더이상 미룰 수가 없어서 NFT에 대한 책을 찾게 되었고, 그래서 읽은 책이 NFT 실체와 가치이다. 처음 이 책은 토큰에 대해서 설명하는데, 조금만 더 견디면 NFT에 대해 눈이 밝아지듯... 더보기",9791158393212,5.0
NFT 실체와 가치,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=291003182,장세형,2022-03-30,2022-05-18,amber032,구매,5점,"디지털 그림이 NFT로 원본으로서의 가치가 있는지 확인 내 주위에서 NFT에 관한 이야기를 많이 한지 꽤 되었다. 그럼에도 나는 여전히 NFT가 무엇인지 몰랐고 특히 블록체인과 NFT의 차이가 무엇인지, 미술품들을 NFT로 주식처럼 거래가 가능한 이유도 몰랐다. 더이상 미룰수가 없어서 NFT에 대한 책을 찾게 되었고, 그래서 읽은 책이 NFT실체와 가치이다. 처음 이 책은 토큰에 대해서 설명을 하는데, 조금만 더 견디면 NFT에 대해 눈이 밝아지듯 이해하게 되니 꾹 참고 꼭 끝까지 읽어보기를 바란다.특히 내가 가장 궁금해 했던 디지털 그림이 NFT로 원본으로서의 가치가 있는지 확인할 수... + 더보기",9791158393212,5.0
NFT 실체와 가치,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=291003182,장세형,2022-03-30,2022-05-18,amber032,구매,5점,"디지털 그림이 NFT로 원본으로서의 가치가 있는지 확인 내 주위에서 NFT에 관한 이야기를 많이 한지 꽤 되었다. 그럼에도 나는 여전히 NFT가 무엇인지 몰랐고 특히 블록체인과 NFT의 차이가 무엇인지, 미술품들을 NFT로 주식처럼 거래가 가능한 이유도 몰랐다. 더이상 미룰수가 없어서 NFT에 대한 책을 찾게 되었고, 그래서 읽은 책이 NFT실체와 가치이다. 처음 이 책은 토큰에 대해서 설명을 하는데, 조금만 더 견디면 NFT에 대해 눈이 밝아지듯 이해하게 되니 꾹 참고 꼭 끝까지 읽어보기를 바란다.특히 내가 가장 궁금해 했던 디지털 그림이 NFT로 원본으로서의 가치가 있는지 확인할 수... + 더보기",9791158393212,5.0
모든 기획자와 디자이너가 알아야 할 사람에 대한 100가지 사실,http://www.yes24.com/Product/Goods/105104944,"수잔 웨인쉔크 저/이재명, 이예나, 전이주 역",2021-11-24,2022-05-11,y****i,구매,평점5점,유익힙니다!,9791158392765,5.0
인스타그램 브랜딩 레시피,http://www.yes24.com/Product/Goods/105892670,김정은 저,2022-01-12,2022-05-09,r*****1,구매,평점5점,"인스타그램으로 비즈니스를 하신다면, 꼭 읽어보셨으면 해요! 똥손도 브랜딩하게 만드는 기적!",9791158392956,5.0
[eBook] NFT 실체와 가치,http://www.yes24.com/Product/Goods/108746265,장세형 저,2022-04-08,2022-05-08,w*******2,구매,평점5점,블록체인과 NFT 개념 정리에 좋습니다,9791158393281,5.0
나의 첫 블렌더,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280986607,"Benjamin,윤인성",2021-10-15,2022-05-08,도레미파솔,구매,5점,기초 다지는데 잘 배웠습니다.,9791158392741,5.0
